title,pub_date,category,body,link,Magyar Péter,Orbán Viktor,Lázár János,Trump,Putyin,Zelenszkij,Karácsony Gergely,Fidesz,Tisza Párt,Mi Hazánk,DK,MSZP,Jobbik,Momentum
Itt a várva várt tradicionális fotó: előrukkolt az idei karácsonyfával Gulyás Gergely (FOTÓ),2025-12-24 14:50:37+00:00,Belföld,"Áldott karácsonyt kívánok! – írta Gulyás Gergely miniszterelnökséget vezetőminiszterlegújabb közösségi-oldalán közzétett bejegyzésében, amihez csatolta az ikonikus karácsonyfás fotót. Nyitókép forrása: MTI/Illyés Tibor",https://mandiner.hu/belfold/2025/12/itt-a-varva-vart-tradicionalis-foto-elorukkolt-az-idei-karacsonyfaval-gulyas-gergely-foto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tóth Alexnek még fel kell fognia, ami történt – ezt üzente a fradistáknak",2025-12-24 14:43:23+00:00,Sport,"Ahogy arról a Mandiner is beszámolt, adiósgyőri győzelmetkövetően az M4 Sport kamerái előtt értékelt a Ferencvárosi Torna Club fiatal középpályása, Tóth Alex. A Fradi még mindig csak 20 éves labdarúgójánaknekiszegezték a kérdést,hogy Miskolcon játszotta-e utolsó mérkőzését zöld-fehér mezben.„Még én sem tudom pontosan, mi lesz, izgatottan várom a januárt. Próbáltam erre a meccsre összpontosítani, most ez volt a fontos”– felelte. A kérdés jogosságához nem férhet kétség, hiszen az FTC klubelnöke, Kubatov Gábor is Magyarország egyik legnagyobb játékoseladásakéntaposztrofáltaTóth leendő értékesítését egy televíziós interjúban. A külföldi szaksajtóban több helyen is csodagyerekként jellemzik, aki elképesztő villámkarriert futott be, hiszen tavaly még az NB II-es Soroksárban játszott, azóta viszont az Európa-liga-szereplő népligetiek alapemberévé, nem mellesleg messze legértékesebb futballistájává nőtte ki magát, és nemzeti csapatunknak is állandó tagja lett. A fradi.hu mostvele készítettévzáró interjút. „Szerintem körülöttem senki sem gondolta, hogy ennyi minden fog velem történni ebben az évben, és ennyire intenzív lesz majdnem minden perce. Számomra is hihetetlen, még mind a mai napig”– kezdte Tóth Alex. Hozzátette: bár nem kapott meg mindent idén, amiért dolgozott, de így is nagyon sokat hozott neki 2025, és most érzi igazán, hogy minden szempontból megtérül a befektetett munkája. Amikor azt mondom, focista akarok lenni, akkor elsősorban az számít, mit nyújtok a pályán. Ugyanakkor a külsőségek – hogy például megyek az utcán és örülnek nekem – hozzá tartoznak a dolgokhoz. Nagyon jó érzés tud lenni, hogy akarnak téged az emberek, ez érzelmileg feltölt” – fogalmazott a klubhonlapnak. A mélypontokra kitérve a magyar–ír is szóba került. Ezzel kapcsolatban elmondta, amikor találkozik az emberekkel, a következő kérdéseket kapja: „Próbálok ezen túllépni. Az a legfontosabb, hogy erősebben jöjjünk ki ebből az egészből, még ha nehéz is. Szerintem a bizonyítási vágyam lett azóta még erősebb. Ilyenkor az ember, ha másnak nem is, magának akarja bizonyítani, hogy igenis ki tudja hozni magából a maximumot.” A Ferencváros Európa-liga-menetelésére kitérve arról beszélt, hogy szeret nagyot álmodni, és kell is, hogy az embernek sose legyen elég az, ami van, hanem mindig akarjon többet.„Ugyanakkor az is szükséges, hogy tudjuk értékelni a dolgokat. Jól haladunk, de még csak december van, ez még csak a kezdet, a nagyja még hátra van.” Amikor a karácsonyi ünnepekről kérdezték, Tóth Alex így válaszolt:„Itthon maradok, a családdal voltunk wellnessezni, de én szeretem az otthon töltött időt, hiszen erre kevesebb lehetőségem volt. Ez egy nagyon intenzív év volt, még nekem is fel kell fognom, hogy mi minden is történt valójában.” A fradistáknak azt üzente:pihenjék ki ők is magukat, élvezzék a családdal ezt a kis időt, aztán őket is várják a stadionokba, mert rájuk is szükség lesz.„Komoly meccsek várnak ránk ebben a félévben is és kellemes ünnepeket, boldog karácsonyt kívánok mindenkinek és hajrá, Fradi!” A magyar futball egyik legnagyobb ígéretéért valamennyi európai topligából vannak érdeklődők: szóba hozták már többek között Tóth piaci értékét a mértékadó Transfermarkt 8 millió euróra becsüli, de szárnyra kaptak olyan hírek, hogy a Fradi ennek az összegnek majdnem a dupláját is megkaphatná érte. Nyitókép: MTI/Vasvári Tamás",https://mandiner.hu/sport/2025/12/toth-alex-szokni-kell-ami-tortent-uzent-a-fradistaknak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Történelmi emelés a láthatáron: ennyivel nőhet a pedagógusok bére (VIDEÓ),2025-12-24 14:37:31+00:00,Belföld,"A kormány rendelete (435/2025. XII. 23.)  a 2026. évi tanárbéremelésről kimondja, hogy az állam központiköltségvetési forrásbólbiztosítja a pedagógusbérek növeléséhez szükséges fedezetet. A részletszabályok szerint az emelés nem egyszeri döntés, hanem a már korábban elindított bérfejlesztési rendszer részeként valósul meg – számolt be róla azIndex, a Magyar Közlöny alapján. A munkáltató a tanárok 2025. december 1-jei pótlékok, megbízási díjak nélküli, a pedagógusok új életpályájáról szóló törvény szerinti illetményét, munkabérét intézményi szinten átlagosan 10 százalékkal köteles emelni. A rendelet mellett külön kormányhatározat is született, amely megerősíti: a béremeléshez szükséges forrásokat a költségvetésben elkülönítetten biztosítják. Az új életpályamodell és a  hozzá kapcsolódó történelmi léptékű béremelés eredményeképpen a  tanári pálya stabil, tervezhető életúttá vált” – fogalmaztak a közlönyben, majd kifejtették:„a megemelt fizetés pályára vonzza a  fiatalokat, biztosítva a  tanárutánpótlást, és a pályán tartja a tapasztalt és elhivatott pedagógusokat, ami a jövő nemzedék iskolai nevelése szempontjából kulcsfontosságú. A megemelt tanárbérek növelik a tanári hivatás társadalmi megbecsültségét, és biztosítják, hogy gyermekeinket olyan tanárok tanítsák, akik anyagilag megbecsülve érzik magukat”. Gulyás Gergely Miniszterelnökséget vezető miniszter a tegnapi Kormányinfón megerősítette, amit a december elején tartott stratégiai kabinetülés előtt is mondott: A pedagógusok bére 2026-ban már elérheti a 936 ezer forintos átlagot – jelentette be Gulyás Gergely. A Kormányinfón hangsúlyozta, hogy ezzel 2010-hez képest duplázzák a pedagógus átlagbért. Kiemelte, hogy az Európai Unióval kötött megállapodás kötelezi Magyarországot arra, hogy fokozatosan növelje a tanárok bérét, egészen addig, amíg az el nem éri a diplomás átlagkereset 80 százalékát. A jogszabályi környezetből továbbra is az látszik, hogy a béremelés differenciált módon érvényesül, de erre Gulyás Gergely is rámutatott. A pedagógusok fizetését befolyásolja: Ez azt jelenti, hogy a tényleges béremelkedés mértéke pedagógusonként eltérhet. A 2026-os tanárbéremelés a kormány szerint az oktatás stabil működését és a pedagóguspálya vonzerejének növelését szolgálja. Az intézkedés ugyanakkor továbbra is része annak az oktatáspolitikai vitának, amely a tanári bérek reálértékéről, a munkaerőhiányról és az oktatási rendszer hosszú távú fenntarthatóságáról szól. Az elmúlt évek tapasztalatai alapján a béremelések fontos szerepet játszanak a pályaelhagyás lassításában, ugyanakkor az oktatási érdekképviseletek rendszeresen felhívják a figyelmet arra, hogy a bérek alakulását az inflációval együtt érdemes vizsgálni. Nyitókép forrása: MTI/Balogh Zoltán",https://mandiner.hu/belfold/2025/12/tortenelmi-emeles-a-lathataron-ennyivel-nohet-a-pedagogusok-bere-video,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Termelékenységi paradoxon: miért nem lett jobb az építőipar? ,2025-12-24 14:14:08+00:00,Makronóm,"A stagnáló építőipari termelékenység világszerte súlyos probléma, derül ki egy a napokban aconstruction-physics.com szakportálon megjelentszakmai elemzésből. Az Egyesült Államokra fókuszáló, de rengeteg nemzetközi összehasonlítást hozó anyag szerint évtizedek óta nem nő az ágazat hatékonysága: ugyanannyi ráfordítással nem termel többet, és nem is olcsóbb. Ez éles ellentétben áll a gyártóiparral vagy a teljes gazdasággal, ahol a technológiai fejlődés folyamatos termelékenységnövekedést hoz. Az elemzés az úgynevezett KLEMS-adatbázisokra támaszkodik, amelyek a tőke (közgazdaságtani jelölése a K), a munka (L), az energia (E), az anyagok (M) és a szolgáltatások (S) alapján mérik a teljesítményt. Több tucat ország adatainak összevetése mutatja, hogy 1970-től az 1990-es évek közepéig a legtöbb nyugat-európai állam, Japán, Dél-Korea, Ausztrália és Kanada építőipari munkájának termelékenysége évente óvatosan, de ütemesen 1-2 százalékkal emelkedett. Ezzel szemben az USA-ban ugyanezen idő alatt évente átlagosan 1,9 százalékkal csökkent a mutató. Az 1990-es évek közepétől az Egyesült Államokban a visszaesés megállt, de a termelékenység azóta stagnál. Hasonló a helyzet sok fejlett országban: Németországban, Franciaországban, Olaszországban, Spanyolországban, az Egyesült Királyságban és Japánban lapos vagy enyhén csökkenő ívet rajzol ki a trend. Néhány állam – mint Hollandia, Belgium vagy Dánia – még mutat némi növekedést, de alacsonyabb ütemben, és e trendek mögött jórészt statisztikai korrekciók, módszertani, adatfelvételi pontatlanságok, változások állhatnak. Az újonnan vizsgált országok közül számos kelet-európai, latin-amerikai és ázsiai (például Lettország, Litvánia, Peru, Costa Rica) javulást mutat, ám ezek többsége kisebb vagy kevésbé fejlett gazdaság. Az anyag szerint a visegrádi négyek közül egyik sem szerepel a kiemelkedően javulók között. Kína a hatalmas infrastrukturális beruházásai ellenére sem emelkedik ki: 1987 óta csupán évi 1,4–1,9 százalékos növekedés látható, ami hasonló a régi nyugat-európai értékekhez, és 2007–2017 között gyakorlatilag stagnált. Japánban pedig szinte semmilyen előrelépés nincs az 1970-es évek óta. A legjobban teljesítő gazdag ország Belgium, ahol korábban 3 százalék feletti, ma pedig körülbelül 1 százalékos az éves építőipari hatékonyságnövekedés. Ugyanakkor kétséges, hogy ez a javulás mennyire valós, hiszen a belga építési költségek nem alacsonyabbak a környező országokénál – a felmérés készítői itt is adatfelvételi pontatlanságokra gyanakodnak. Magyarország adatai a lengyelhez hasonló képet mutatnak: lassú, kismértékű hatékonyságnövekedés jellemzi az ágazatot. Ez különösen furcsa, ha belegondolunk, mennyit fejlődtek az építési technológiák az elmúlt évtizedekben. A magasépítésben új anyagok és eljárások, a mély- és magasépítésben a gépesítés, a felújításokban a standardizált megoldások elvben mind a termelékenység javulását kellene szolgálják. A mutatókat azonban több tényező rontja. Egyrészt a munkaerőköltségek az elmúlt időszakban látványosan emelkedtek, másrészt összetettebbek lettek a projektek: a digitalizációs infrastruktúrák beépítése, az épületgépészet bonyolultsága, a mélyépítés szigorúbb biztonsági és minőségi előírásai mind növelik a ráfordításokat anélkül, hogy a kibocsátás ezzel arányosan nőne. Az építőipari termelékenység mérése egyébként is nehézkes és néhány tényező könnyen torzíthatja. Az inflációkorrekció, a használt deflátorok vagy az adatbázisok időbeli revíziói könnyen eltérő következtetésekhez vezetnek. Erre jó példa a McKinsey Global Institute 2017-es jelentése, a„Reinventing Construction: A Route to Higher Productivity”,amely ugyanabból a KLEMS-adatbázisból indulva teljesen más növekedési rátákat mutatott egyes országokra – elsősorban a későbbi adatrevíziók miatt. Érdekes, hogy a jelenleg javuló országok többsége kisebb vagy szegényebb gazdaság, és az építőipar termelékenységnövekedése ezekben is messze elmarad a gyártásétól vagy a teljes gazdaságétól. Ráadásul a gyakran példaként felhozott megoldások sem hoztak áttörést: Svédország építőipari előre gyártott elemei, Japán kísérleti technológiái vagy Kína gigantikus építési programjai sem eredményeztek kiemelkedő hatékonyságnövekedést. Mindez arra utal, hogy az építőipari termelékenység stagnálása az elmúlt 30–50 évben egy globális, mélyen gyökerező probléma, különösen a fejlett, nagy gazdaságokban. És itt nem pusztán szabályozási vagy helyi kérdésről van szó, hanem az ágazat szerkezeti sajátosságaiból fakadó kihívásról. Ettől függetlenül érdemes tanulni a korábbi sikeres időszakokból – például a 70–90-es évek európai növekedéséből – vagy a kivételekből, mint Belgium. Pedig sok ország profitálhatna az európai legjobb gyakorlatok átvételéből, különösen a tranzit- vagy infrastrukturális építkezések terén. A termelékenységi határ további tolása azonban az építőipari ágazatban mindenhol összetett feladatnak tűnik. Kapcsolódó: További cikkeinket, elemzéseinket megtalálják amakronom.euoldalon. Nyitókép: MTI/EPA/Divjakant Szolanki",https://mandiner.hu/makronom/2025/12/termelekenysegi-paradoxon-miert-nem-lett-jobb-az-epitoipar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Végre itt a 20 pontos lista: Zelenszkij nyilvánosságra hozta a titkos béketervet – fájdalmas lépés jöhet a határoknál,2025-12-24 14:08:17+00:00,Külföld,"Hónapok óta tartó háttéregyeztetések utánVolodimir Zelenszkijnyilvánosságra hozta annak a béketervnek a teljes, 20 pontos tervezetét, amely Kijev, Washington és Moszkva között formálódhat megállapodássá – írta meg aKárpátHír. A jelenleg még „piszkozat” státuszú dokumentum átfogó politikai, katonai, gazdasági és területi rendezést vázol fel, külön garanciális és újjáépítési mellékletekkel. A terv NATO-szintű biztonsági garanciákat, 800 ezres ukrán hadsereget és EU-csatlakozási menetrendet is tartalmaz, ugyanakkor fájdalmas kompromisszumokat is felvet. A javaslat egyik kulcseleme egy feltétlen orosz–ukrán megnemtámadási egyezmény, amelyet nemzetközi monitoringmechanizmus ellenőrizne. A biztonsági fejezet szerint az Egyesült Államok, a NATO és európai partnerek a NATO 5. cikkelyéhez hasonló garanciákat nyújtanának Ukrajnának: orosz támadás esetén automatikus katonai válasz és szankciók lépnének életbe. A tervezet rögzítiUkrajnaatomfegyver-mentes státuszát, valamint gyorsított gazdasági integrációt ígér mind az Európai Unió, mind az Egyesült Államok irányába. A legélesebb viták a területi kérdések körül bontakoznak ki. A dokumentum de facto határvonalakat, szabad gazdasági övezeteket és akár népszavazást is kilátásba helyez a vitatott régiókban. Különösen kényes pont a zaporizzsjai atomerőmű jövője, ahol amerikai részvétellel megvalósuló közös irányítás is felmerült. A tervezet végrehajtását egy jogilag kötelező erejű mechanizmus felügyelné, egy Béketanáccsal, amelynek élén Donald Trump állna. A 20 pontos béketerv fő elemei: A tervezet szerint a megállapodás csak parlamenti ratifikáció vagy országos népszavazás után léphet hatályba Ukrajnában. Zelenszkij hangsúlyozta: a választóknak nem csupán a területi kérdésekről, hanem a teljes békecsoma gról kellene dönteniük. Nyitókép: UKRAINIAN PRESIDENTIAL OFFICE / AFP",https://mandiner.hu/kulfold/2025/12/vegre-itt-a-20-pontos-lista-zelenszkij-nyilvanossagra-hozta-a-titkos-beketervet-fajdalmas-lepes-johet-a-hataroknal,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kijött a drámai svájci kutatás: 600 ezer fegyver tűnt el nyomtalanul Magyarország szomszédjában,2025-12-24 14:02:11+00:00,Külföld,"Az ukrajnai korrupció a háború kitörésével robbanásszerűen megnőtt. Miközben az Európai Unió országai rendszeresen szállítanak fegyvereket Kijevnek, hogy segítsék az Oroszország által indított invázió elleni harcot, a hadianyag egy része eltűnhet – írja aLe Journal da Dimanche. A Le Parisien december 22-i beszámolója szerint a svájci Global Initiative against Transnational Organized Crime (GI-TOC) civil szervezet 2024 júniusában közel 600 ezer, a háború 2022-es kezdete óta ellopott vagy elveszett fegyvert azonosított. A napilapnak nyilatkozva Ulrich Bounat geopolitikai elemző elmondta: „gyakran katonák viszik magukkal ezeket, ahogy az minden fegyveres konfliktusban előfordul”. Kiemelte, hogy a fegyvereket később eladják, „azzal az ürüggyel, hogy elvesztek”. Egyes katonai parancsnokok felnagyították az állomány létszámát annak érdekében, hogy több fegyverhez jussanak, majd ezek egy részét eltérítették” – állítja a szakértő. A lap rámutat: a nyomon követhetőséggel kapcsolatos problémák azért is különösen aggályosak, mert az EU nemrég ismét 90 milliárd euró összegű, kamatmentes hitelt nyújtott Ukrajnának. Az országot ráadásul régóta a fegyvercsempészet egyik csomópontjaként tartják számon. Mindez annak ellenére történik, hogy már 2022 februárjától működik a Kosovai nevű szoftver, amelyet az Egyesült Államok, az Egyesült Királyság ésUkrajnaközösen vezetett be a katonai segítségnyújtás nyilvántartására és a szállítmányok egészen az átadásig történő követésére. A lap ugyanakkor megjegyzi: az ellenőrzés elsősorban a nagy értékű és méretes haditechnikai eszközökre, például a harckocsikra összpontosít. Ezzel szemben a könnyebb fegyverek ellenőrzése jóval gyengébb, holott ezek eltulajdonítása sokkal valószínűbb. A hadianyag műveleti okokból folyamatosan mozog a frontvonalakon, és az információ nem feltétlenül jut el a parancsnoki lánc minden szintjére” – magyarázta a Le Parisiennek Ulrich Bounat. A cikk kiemeli azt is, hogy bár az ukrán hatóságok igyekeznek megakadályozni az ilyen jellegű visszaéléseket, a bűnözői csoportok különösen jól szervezettek: piacokat, csempészútvonalakat és a korábbinál hatékonyabb ellátási láncokat építenek ki. A jelenség egyben lehetőséget teremt a Kremlhez köthető propagandacsatornák számára is, amelyek álhírek terjesztésével felnagyítják a problémát, hogy megingassák a Nyugat Ukrajnának nyújtott támogatását. Ezzel szemben Kijev fokozza erőfeszítéseit: több hálózatot már felszámoltak, és hadianyagot is sikerült visszaszerezni. Ugyanakkor továbbra is fennáll annak a veszélye, hogy a fegyverek tömeges eltérítése a háború lezárulta után ismét felerősödik. Nyitóképünk illusztráció. Forrása: Genya SAVILOV / AFP",https://mandiner.hu/kulfold/2025/12/kijott-a-dramai-svajci-kutatas-600-ezer-fegyver-tunt-el-nyomtalanul-magyarorszag-szomszedjaban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"„Egy másik generációból származom, az igazságérzetem nagy” – Dzsudzsák ritkán ad interjút, de most megtörte a csendet",2025-12-24 13:45:42+00:00,Sport,"December 23-án töltötte be 39. életévét a magyar labdarúgás válogatottsági rekordere, Dzsudzsák Balázs. A Debrecen szélsője 109 alkalommal ölthette magára a címeres mezt, jelenlegi szerződése a klubcsapatával az idény végéig szól. A DVSC legrutinosabb játékosaa Loki podcastjébenértékelte az őszi szezont, amelyet a negyedik helyen zártak. Sokak szerint a tavasszal még a kiesés ellen küzdő debreceniek erőn felül teljesítenek a mostani kiírásban, és hétről hétre jelennek meg olyan elemzések róluk, melyek szerint nem kellene ilyen jól állniuk. Ebben a szezonban elég kevésszer szólaltam meg, de amikor igen, akkor itt, házon belül oldottuk meg. Próbáltam mindig hangsúlyozni, hogy nekem alapból nincsen ezzel semmi bajom, sőt örülök annak, ha ez továbbra is így marad: azaz legyenek elől a nagyok, akikről szól minden, akiknek a fociját egyesek szerint élmény nézni, mi pedig hozzuk a meccseket ugyanígy, nem foglalkozva azzal, hányadik helyen vagyunk. Azzal sincs bajom, hogy rólunk milyen statisztikákat keresnek elő már csak azért is, hogy véletlenül se legyen hiteles az, hogy a Debrecen most éppen ugyanannyi pontot szerzett, mint a Ferencváros. Én egy másik generációból származom, az igazságérzetem nagy – fogalmazott Dzsudzsák a mindenféle kimutatásokkal kapcsolatban, majd azt is elmondta, még az M4 Sportnak is odaszúrt egyszer emiatt. A műsorvezető felvetette neki, hogy lehet némi hasonlóság közte és az ötszörös aranylabdás korszakos zseni, Cristiano Ronaldo között, miután a portugál klasszis is túl van már pályafutása zenitjén (meg a negyedik ikszen), Megtisztelő az összehasonlítás, de nyilván tudom, hol a saját helyem. Életkorilag talán egy lapon említhetnek minket Modriccsal vagy Böde Danival együtt. Azért nagyon-nagyon kevesen vagyunk már (ebből a korosztályból élvonalbeli labdarúgók) sajnos, közben meg hál' istennek, a pályán még képesek vagyunk a legfelső szinten teljesíteni – közöltea válogatott egykori csapatkapitánya. Elárulta, 38-on túl életmódváltáson ment keresztül, ami elsősorban a táplálkozását érinti. „Az életkoromhoz képest igenis azt mondom saját magamról, hogy ugyanazt az iramot bírom, mint amikor hazajöttem öt évvel ezelőtt.” Dzsudzsák Balázs megerősítette, mindez sok lemondással jár, ami egy kívülállónak fel sem tűnhet. Sok kiegészítő dolgot kell megcsinálni hozzá, de voltam, meg leszek is annyira makacs ebben a tekintetben, hogy már csak azért se rontom el azt, amit eddig felépítettünk. Érdekes dolog azzal szembesülni egyébként, hogy ez ennyit hozzá tud adni. Próbálom keresni a kibúvót, hogy »á, nem, ez biztos, nem attól van, mert nyilván az ember tud focizni«. Néha meg abba is belegondolok, hogy nagyon-nagyon jó genetikával rendelkezem, köszönhetően a szüleimnek – folytatta. Szerinte megmutatta, hogy akkor sem csapkodja a földet és bújik be az öltözőbe, ha éppen nem játszik. Úgy véli, a tavalyi év volt az áttörés sok embernek esetében, és félretéve minden egót, neki a klub az mindennél és mindenkinél fontosabb. A csapaton belüli stabilitás kapcsán külön kiemelteSergio Navarro vezetőedzőt,mondván „Sergio szerepe elengedhetetlen ebben”. A karácsony is szóba került a műsor végén, amellyel kapcsolatban a ballábas focista megerősítette, ilyenkor megengedheti magának a „bűnözést”, majd ugyanazzal a lendülettel megnyugtatott mindenkit, hogy töltött káposzta is lesz az ünnepi menüben. Dzsudzsák Balázs a mostani idényben 19 tétmérkőzésen hat gólt és két gólpasszt jegyzett. A DVSC 31 ponttal a negyedik helyen áll a tabellána Fizz Ligában,négy egységgel lemaradva a listavezető győri ETO FC mögött. Fotók: MTI/Czeglédi Zsolt",https://mandiner.hu/sport/2025/12/dzsudzsak-balazs-dvsc-interju-podcast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nagyszülők, fegyverbe! Ebben az országban teljes már a háborús mozgósítás",2025-12-24 13:38:12+00:00,Külföld,"Finnország jelentősen bővíti haderejének mozgósítható bázisát: Alexander Stubb aláírta azt a törvénymódosítást, amely 65 évre emeli a behívható tartalékosok felső korhatárát –közölte a finn Védelmi minisztérium. A 2026. január 1-jén hatályba lépő változás a közlegények esetében 15, a tisztek és altisztek esetében 5 évvel hosszabbítja meg a tartalékos szolgálati időt – erősítve a hadsereg és a határőrség válsághelyzeti mozgásterét. Antti Häkkänen védelmi miniszter szerint az intézkedés lehetővé teszi, hogy szükség esetén rangtól függetlenül kulcspozíciókba helyezzenek tapasztalt embereket. Az ötéves átmeneti időszakban 125 ezer fővel nő a tartalékosok létszáma, és 2031-re elérheti az egymilliót. A kormányzat üzenete egyértelmű: Finnország komolyan veszi saját biztonságát, most és a jövőben is. A döntés közvetlen biztonságpolitikai kontextusban született. Az orosz–ukrán háború 2022-es kitörése után Helsinki jelezte csatlakozási szándékát a NATO-hoz, amely 2023 áprilisában vált valóra. Ezzel a katonai szövetség és Oroszország közös határa egyik napról a másikra kétszeresére nőtt, Finnország pedig 2023 őszén ideiglenesen lezárta az összes orosz határátkelőt, Moszkvát hibrid nyomásgyakorlással vádolva. A finn lépés illeszkedik az európai trendekbe: a kontinensen nő a feszültség, és egyre több ország gyorsítja a katonai felkészülést. Több állam – köztük Franciaország, Németország, Belgium és Hollandia – az önkéntes katonai szolgálat bővítésére készül, miközben a NATO európai tagjai 2035-ig 3,5 százalékra emelnék a védelmi kiadásokat, további 1,5 százalékot pedig a védelmi infrastruktúrára fordítanának az orosz hibrid fenyegetésekkel szemben. Nyitókép: Jonathan NACKSTRAND / AFP",https://mandiner.hu/kulfold/2025/12/nagyszulok-fegyverbe-ebben-az-orszagban-teljes-mar-a-haborus-mozgositas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Ez nem összeesküvés, hanem statisztika: Brüsszel fiataljainak 73 százaléka migrációs hátterű, eltűnnek a belgák a fővárosból",2025-12-24 13:12:55+00:00,Külföld,"Belgiumban – különösen Brüsszelben – drámai demográfiai átalakulás zajlik, amely egyre élesebb politikai vitákat vált ki. A StatBel hivatalos adatai szerint Brüsszelben a 0–17 éves korosztály 72,9 százaléka nem uniós migrációs háttérrel rendelkezik, vagy az EU-n kívül született, miközben mindössze 10,56 százalék számít kizárólag belga származású belgának. Ezek az arányok messze túlmutatnak azon az érvelésen, miszerint a főváros magas idegen arányát pusztán más uniós országokból érkező munkavállalók magyaráznák – számolt be aRemix. A számokra reagálva Filip Dewinter, a flamand jobboldali Vlaams Belang vezető politikusa „népességcseréről” beszélt, hangsúlyozva: szerinte ez nem összeesküvés-elmélet, hanem a statisztikai adatokkal igazolt folyamat. Dewinter szerintBrüsszel mára olyan várossá vált, ahol a fiatal generáció döntő többsége EU-n kívüli háttérrel rendelkezik, ami hosszú távon identitásbeli, társadalmi és politikai következményekkel járhat. Belgium egészét tekintve is jelentős regionális különbségek figyelhetők meg. Országos szinten 2025. január 1-jén a lakosság mintegy kétharmada volt belga származású, de míg a Flamand régióban ez az arány közel 72 százalék, addig Brüsszelben mindössze 22 százalék. A fővárosban összességében a lakosság 78 százaléka nem belga eredetű, beleértve a belga állampolgárságú, de külföldi származású lakosokat is. A bevándorlás fő hajtóereje a családegyesítés: 2018 óta évente átlagosan mintegy 56 ezer fő érkezett ezen a jogcímen, 2024-ben pedig közel 60 ezres csúcsot mértek. A demográfiai vita uniós szinten is politikai feszültséget kelt. Dewinter egy friss elemzésében Donald Trump adminisztrációjához köthető dokumentumokra hivatkozva arról írt, hogy Európa identitása, társadalmi kohéziója és demográfiai önbizalma az ellenőrizetlen migráció miatt erodálódik. A témát korábban az Európai Parlamentben is élesen vitatták: Tom Vandendriessche bírálta Ylva Johansson kijelentését, miszerint az EU-nak évente legalább egymillió migránsra van szüksége a munkaerőhiány kezeléséhez. Nyitókép: NICOLAS MAETERLINCK / AFP",https://mandiner.hu/kulfold/2025/12/ez-nem-osszeeskuves-hanem-statisztika-brusszel-fiataljainak-73-szazaleka-migracios-hatteru-eltunnek-a-belgak-a-fovarosbol,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mint akinek a tyúkszemére léptek: erőlködik az EU, miután Trumpék szankcionáltak egy brüsszeli bürokratát",2025-12-24 13:05:00+00:00,Külföld,"Ahogy arról aMandineris beszámolt, szankcionálja az Amerikai Egyesült Államok Thierry Breton francia politikust, aki Ursula von der Leyen első Európai Bizottságában belső piacért felelős biztosként dolgozott – közölte az X-en Sarah B. Rogers amerikai külügyi államtitkár. A szankció közvetlen indoka az, hogy Breton a DSA-ra hivatkozva fenyegette meg Elon MuskotDonald Trumpelnökkel folytatott online beszélgetése előtt az amerikai elnökválasztási kampányban. Az Európai-Unió hivatalos közleményt adott ki az esettel kapcsolatban:„Az Európai Bizottság határozottan elítéli az Egyesült Államok döntését, amely szerint beutazási korlátozásokat vezetnek be öt európai személy ellen, köztük Thierry Breton volt európai biztossal szemben. A véleménynyilvánítás szabadsága alapvető jog Európában, és az Egyesült Államokkal közösen vallott alapérték az egész demokratikus világban” –írják a közleményben. Hozzátettek: Az Európai Unió nyitott, szabályalapú egységes piac, amely szuverén joggal rendelkezik a gazdasági tevékenységek szabályozására demokratikus értékeivel és nemzetközi kötelezettségvállalásaival összhangban.” Digitális szabályozásaink biztonságos, tisztességes és egyenlő versenyfeltételeket biztosítanak minden vállalat számára, méltányos és megkülönböztetésmentes alkalmazás mellett –hangsúlyozták. A közleményben kiemelték, hogy tájékoztatást kértek az amerikai hatóságoktól, és továbbra is egyeztetéseket folytatnak velük. „Szükség esetén gyorsan és határozottan fogunk reagálni annak érdekében, hogy megvédjük szabályozási autonómiánkat az indokolatlan intézkedésekkel szemben” –tették hozzá végül. We strongly condemn the U.S. decision to impose travel restrictions on five European individuals, including former Commissioner Thierry Breton.Link to full statement:https://t.co/d8zwBd2sL8pic.twitter.com/i0c75f3ePs Nyitókép forrása: ROMEO BOETZLE / AFP",https://mandiner.hu/kulfold/2025/12/mint-akinek-a-tyukszemere-leptek-erolkodik-az-eu-miutan-trumpek-szankcionaltak-egy-brusszeli-burokratat,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
