title,pub_date,category,body,link
Remény cukorbetegeknek: csuklón viselhető mindent mérő eszköz,2025-12-24 15:03:00+00:00,Tech,"A San Diego-i Kaliforniai Egyetem kutatói egy olyan csuklópántot dolgoztak ki, amelyik folyamatosan nyomon követi viselőjének vércukorszintjét, sőt még további olyan szív- és érrendszeri paramétereket, amelyek összefüggésben lehetnek ezzel a betegséggel és az általános egészségi állapottal.Ez a sokoldalúság nem véletlen, a kutatók ugyanis úgy gondolták, hogy a cukorbetegség kezeléséhez kevés egyetlen célzott mérés, ugyanis olyan tényezők is befolyásolják a vércukorszintet és a szív egészségét, mint a stressz, a testmozgás és az alkoholfogyasztás. Ezeket viszont a hagyományos monitorozó rendszerek nem tudják teljes egészében rögzíteni.„A glükóz-, laktát-, alkohol- és szív- és érrendszeri jelek valós idejű nyomon követésével ez a csuklópánt segíthet az embereknek jobban megérteni egészségi állapotukat, és lehetővé teszi a cukorbetegség kockázatának csökkentésére irányuló korai intézkedéseket” – mondta An-Yi Chang, aNature Biomedical Engineeringfolyóiratban megjelent tanulmány társszerzője.A rugalmas csuklópánt egy mikrotűket tartalmazó tömbből áll, amely fájdalommentesen mintát vesz a bőr alatti szövetközi folyadékból, hogy valós időben mérje a vércukor-, a laktát- és az alkoholszintet az apró tűkbe ágyazott három különböző enzim segítségével. A mikrotű-tömböt a viselési időszakok személyre szabása érdekében egyszerűen lehet cserélni. Ez csökkenti az allergiás reakciók vagy fertőzések kockázatát, miközben gondoskodik a hosszabb távú használatról.A rugalmas csuklópánt méri viselője vércukor-, laktát- és alkoholszintjét, valamint a vérnyomást, az artériás merevséget és a pulzusszámotAn-Yi ChangEmellett a csuklópánt ultrahangos érzékelőrendszert is használ a vérnyomás és az artériás merevség mérésére, míg az EKG-érzékelők közvetlenül a csuklópulzusokból mérik a pulzusszámot. Ezek a fiziológiai jelek a szív- és érrendszeri kockázat kulcsfontosságú mutatói, amelyek gyakran emelkedettek a cukorbetegeknél, viszont ritkán monitorozzák folyamatosan a klinikai környezeten kívül – magyarázták a kutatók.Az érzékelőkből származó adatokat a csuklópánthoz csatlakoztatott okoseszköz mutatja. A pánt viselője így valós időben láthatja, hogyan befolyásolják a napi tevékenységei, például az étkezés, az alkoholfogyasztás vagy a testmozgás a testét, és így személyre szabott betekintést nyerhet szervezete anyagcsere-, illetve szív- és érrendszeri válaszaiba. Ez segíthet a betegeknek és az orvosoknak a veszélyes trendek azonosításában, mielőtt azok súlyosbodnának, potenciálisan figyelmeztetve a felhasználókat azokra a szív- és érrendszeri kockázatokra, amelyeket a hagyományos vércukormérők nem észlelnének.A tesztekben a csuklópánt remekül helyt állt.  A vércukorszint eredményei megegyeztek a hagyományos vércukorszintmérő és a folyamatos glükózmonitor eredményeivel. Hasonló volt a helyzet az alkohol- és a laktátszinttel is.Ha máskor is tudni szeretne hasonló dolgokról, lájkoljaa HVG Tech rovatának Facebook-oldalát.",https://hvg.hu/tudomany/20251224_vercukorszintet-mero-csuklon-viselheto-eszkoz
Lemeszelték a gyorshajtó Mikulást,2025-12-24 14:56:55+00:00,Élet+Stílus,"A BBC beszámolója szerint a rend éber őrei nem büntették meg a Mikulást, csak figyelmeztették, hogy miközben siet az északi sark felé, sok vad lehet az utak mentén, “Egy kicsit túl gyorsan repült” – tették hozzá a vidám beszélgetés során.",https://hvg.hu/elet/20251224_Lemeszeltek-a-gyorshajto-Mikulast
"Évszázadokat várt arra a franciák Caravaggiója, hogy végre felfedezzék titokzatos képeit",2025-12-24 14:30:00+00:00,hvg360,"Néhány napos bepólyált csecsemő alszik az édesanyja karjaiban, mellettük egy idősebb asszony ül, bal kezében gyertya, jobbját védelmezőn tartja a pici fölé, eltakarva a lángot. Egyszerű, hétköznap esti jelenet – a kép címe:Az újszülött–, ám ahogyan a láthatatlan forrásból a sárgásvöröses, meleg fény megvilágítja az arcokat, és megmutatja, milyen áhítattal szemlélik a nők a gyermeket, varázslatos hangulat árad szét a festményen, és szabadulni sem lehet attól a gondolattól, hogy valójában Jézust, Máriát és a nagymamát, Annát látjuk. A remekmű az egyik csúcspontja annak a párizsi kiállításnak, amelyen majd’ harminc év után gyűjtötték ismét egybe a XVII. századi festő, Georges de La Tour néhány tucat alkotását.Aligha véletlen, hogy világszerte keveset mond a mester neve, maguk a franciák is csak rövid ideje tartják számon önálló alkotóként. Az 1652-ben, 59 évesen elhunyt La Tour hiába számított kora egyik sztárjának, szinte azon nyomban elfeledték, és csak közel háromszáz évvel később került a művészettörténészek, majd a nagyközönség látókörébe. Hasonló sors jutott neki, mint híres holland kortársának, Johannes Vermeernek, ám még aLeány gyöngy fülbevalóvalalkotójának sem kellett ilyen sokáig „várnia” a felfedezésre.La Tour első képeit egy 1934-es párizsi tárlaton ismerhették meg a franciák, akikre valóságos sokként hatott, hogy a korábban Diego Velázqueznek, Francisco de Zurbaránnak vagy épp Vermeernek tulajdonított festményeknek új alkotójuk van. Az akkori katalógusban ki is emelték a kurátorok, hogy La Tour nagyságát azok a mesterek bizonyítják és garantálják, akikkel addig összekeverték.",https://hvg.hu/360/20251224_Georges-de-La-Tour-francia-festo-tenebrizmus-Gyertyafenyben-furdott
Zelenszkij újabb engedményt tett a béke érdekében,2025-12-24 14:27:43+00:00,Világ,"A hétvégén Floridában az amerikai és ukrán küldöttek által elfogadott 20 pontos tervet ismertetve az ukrán államfő elmondta, az oroszok szerdán válaszolnak, miután az amerikaiak tárgyaltak velük. A tervet „a háború befejezésének fő keretének” nevezte és hozzátette: az USA, a NATO és az európaiak biztonsági garanciákat javasolnak egy összehangolt katonai válaszlépéshez, ha Oroszország újra megtámadná Ukrajnát. Az Ukrajna keleti részén fekvő Donyec-medence (Donbasz) kulcsfontosságú kérdésével kapcsolatban Zelenszkij közölte, egy „szabad gazdasági övezet” lehetséges megoldás lenne.A kijevi vezető arról is beszélt, ugyan Ukrajna ellenzi, hogy kivonja csapatait az oroszok által magukénak követelt területekről, ám az amerikai tárgyalók egy demilitarizált övezet vagy egy szabad gazdasági régió létrehozását fontolgatják. Hozzátette: az ukrán csapatok által elhagyott területeket Ukrajnának kell ellenőrzése alatt tartania. „Két lehetőség van, vagy folytatódik a háború, vagy döntés születik a gazdasági övezet létrehozásáról” – magyarázta.A 20 pontból álló terv annak az eredetileg 28 pontos amerikai dokumentumnak az átdolgozott változata, amelyről Steve Witkoff amerikai különképviselő néhány héttel ezelőtt egyeztetett az oroszokkal, és amely elemzők szerint a Kreml követeléseihez igazodik. Az oroszok ragaszkodnak ahhoz, hogy Ukrajna a béke megállapodásért cserébe vonuljon ki saját területének csaknem egynegyedéről.Az érzékeny kérdéseket, köztük a területi kérdéseket „vezetői szinten” kell megoldani, de az új tervezet komoly biztonsági garanciákat és 800 ezer fős katonai erőt biztosítana Ukrajnának – magyarázta Zelenszkij elnök.",https://hvg.hu/vilag/20251224_Zelenszkij-ujabb-engedmenyt-tett-a-beke-erdekeben
"Az unokák, a medve bajsza és Mészáros Lőrinc: itt az idei karácsonyi bullshit-bingó az ünnepi beszélgetésekhez",2025-12-24 13:53:00+00:00,Élet+Stílus,"Ha nem lenne téma a karácsonyi vacsoránál, akkor sem kell aggódni, megjelent a friss, ropogós 2025-ös bullshit-bingó. Olyan témákat lehet feldobni, mint a „Brüsszelben is van ám korrupció”, vagy „csak húzgálják még mindig a medve bajszát”, amire lehet kontrázni egy jó propagandázással, vagy Mészáros Lőrinccel. Meg lehet vele alapozni a jó hangulatot…Abingót itt éri elés valami ilyesmire számítson:e! Bullshit bingó.unnepiebed.hu",https://hvg.hu/elet/20251224_karacsonyi-bullshit-bingo-unnepi-beszelgetes
"Kiderült, miért zuhant le a líbiai vezérkar gépe Törökországban",2025-12-24 13:28:00+00:00,Világ,"A török hatóságok megtalálták a feketedobozát annak a repülőgépnek, amely előző nap – fedélzetén a líbiai vezérkari főnökkel és más magas rangú katonatisztekkel – zuhant le Ankarától nem messze – jelentette be szerdán Ali Yerlikaya török belügyminiszter.A tárcavezető, aki maga is ellátogatott a szerencsétlenség helyszínére elmondta, hogy megkezdték a doboz vizsgálatát.Bejelentéséből kiderült, hogy a fedélzeten – Mohammed Ali Ahmed al-Haddad vezérkari főnökkel együtt – nyolcan utaztak, jóllehet kedden öt utasról adtak hírt. Az újabb tájékoztatás szerint az áldozatok al-Haddad, a líbiai fegyveres erők négy másik tagja – El-Fitúri Grejbil, a szárazföldi erők parancsnoka, Mahmúd el-Katávi tábornok, a hadsereg gyártásért felelős vezetője, Mohammed el-Aszávi Diáb, a vezérkari főnök tanácsadója és Mohammed Omár Mahdzsúb, a hadsereg egyik fotósa –, valamint a személyzet három tagja. A roncsok három négyzetkilométernyi területen szóródtak szét.Lezuhant Törökország felett a líbiai hadsereg vezérkari főnökét szállító gépA török belügyminiszter szerint kényszerleszállást kért a Tripoliba tartó gép, azonban ezután elvesztették a rádiókapcsolatot.Yerlikaya megerősítette, hogy műszaki hiba okozta a Falcon 50-es típusú sugárhajtású üzleti kisgép tragédiáját, amely alig 40 perccel az Ankarából történt felszállás után következett be. Mint mondta, a pilóta már a felszállás után jelentette a hibát és megpróbált visszafordulni, Hayama fölött azonban elvesztették vele a kapcsolatot.Hozzátette, hogy a szerencsétlenség nyomán a roncsok három négyzetkilométeres körzetben szóródtak szét, és a mentőszolgálatok részéről összesen 408-an igyekeznek eltávolítani a romokat a helyszínről és kiemelni a holttesteket.Yilmaz Tunc török igazságügyi miniszter bejelentette, hogy az ankarai ügyészség nyomozást indított. Szerda reggel egy 22 fős líbiai delegáció érkezett Törökországba, hogy segítse a hatóságok munkáját, beleértve a holttestek azonosítását is, amelyen a halottkémek már dolgoznak.A líbiai vezérkari főnök látogatását korábban a török védelmi tárca jelentette. Haddad Ankarában Yasar Güler török védelmi miniszterrel, Selcuk Bayraktaroglu vezérkari főnökkel és más katonai vezetőkkel egyeztetett.Al-Haddad volt a nyugat-líbiai erők legmagasabb rangú parancsnoka és kulcsfontosságú szerepe volt az ENSZ égisze alatt jelenleg is zajló, a politikailag kettészakadt Líbia újraegyesítését célzó tárgyalásokban.Az észak-afrikai ország politikai és területi értelemben is megosztott állam. Nyugaton az Abdulhamid Mohammed Dbeibah ügyvezető miniszterelnök vezette kabinet, az ország déli és keleti térségeiben pedig a Halifa Haftár hadúrral szövetséges kelet-líbiai kormányzat gyakorolja a hatalmat.(Fotó: AFP/Adem Altan)",https://hvg.hu/vilag/20251224_libiai-vezerkar-torokorszag-repulogep-baleset-fekete-doboz
A magyar Nobel-díjastól az amerikai pápáig: az év képei 2025-ben,2025-12-24 13:00:00+00:00,Világ,A képre kattintva galéria nyílik.— gallery control —Nyitóképünkön Krasznaihorkai László átveszi Nobel-díját. Fotó: AFP / Jonathan Nackstrand,https://hvg.hu/vilag/20251224_Ev-kepei-galeria-2025
"Karácsony Gergely: „A családokat szétszakító esztelen háborút ne intézzük el egy legyintéssel, hogy ez nem a mi országunk”",2025-12-24 12:52:41+00:00,Itthon,"Ne a közöny, hanem a szeretet vezérelje a gondolatainkat akkor, amikor azt látjuk, hogy állami gondozott gyerekeket bántanak olyan felnőttek, akiknek szeretetet kellene adniuk, akiknek épp a család biztonságát kellene pótolniuk – mondta Karácsony Gergely szerdán közzétett ünnepi videóüzenetében.A főpolgármester szerint sokak lelkét üli meg most a düh és a felháborodás, a fájdalom és talán a kétségbeesés is: mi lesz velünk, mi tart össze még bennünket, ha a legősibb, a legalapvetőbb, legbensőbb és legmélyebb erkölcsi meggyőződésünket, az ember egyetemes lelkiismeretét éri ilyen sérelem.Karácsony Gergely alapvető, mindent felülíró, és valójában magától értetődően egyszerű igazságnak nevezte, hogy a gyengéket megvédjük, az elesetteket felemeljük, és szolgáljuk azokat is, sőt elősorban azokat, akik kiszolgáltatottak. „Hogy azok az intézményeink, amelyek a gyengék védelmezésére, a kiszolgáltatottak szolgálatára lennének hivatottak, nem lehetnek soha többé a hatalommal való visszaélés és a cserbenhagyás helyei, olyan helyek, amelyek újratermelik, sőt felerősítik a reménytelenséget és a sorstalanságot” – utalt a gyermekotthonokban történtvisszaélésekre.„Emelkedjünk felül a fásultságunkon, a kimerültségünkön, és győzzük le a közönyt. Ne fordítsuk el a fejünket, ha magára maradt, segítségre szoruló embert látunk az utcán. A szomszédunkban zajló, családokat szétszakító esztelen háborút ne intézzük el egy legyintéssel, hogy ez nem a mi országunk” – mondta.Kitért arra, hogy ma Budapesten minden második, 30 év alatti hajléktalansággal élő ember korábban állami gondozott volt, az idősebb hajléktalansággal élők harmada-negyede került az állami gondozásból az utcára, szegénységből a nincstelenségbe, reményvesztettségből a reménytelenségbe.„Na, szia mentő! – én ezt a mondatot viszem magammal az ünnepekre, ahogyan a négyéves kisfiú köszönt a telefonba beteg édesanyja mellől, mert tudta, hogyan kell segítséget kérni, és tudta azt is, van kitől. Mindig van kitől. (…) Ha bízhatunk a támogatásra létrehozott intézményekben és ha tudhatjuk, hogy bármikor bekopogtathatunk a szomszédba is, ha segítségre van szükségünk, ez tesz bennünket közösségé” – mondta Karácsony Gergely.4 éves kisfiú mentette meg az édesanyja életét BudapestenAz Országos Mentőszolgálat hangfelvételt is közzétett az elképesztően talpraesett (és nem kevésbé cuki) óvodás telefonhívásáról.A főpolgármester hangsúlyozta: Budapest azért ragaszkodik az emberi méltóság egyenlőségéhez, azért ragaszkodik a szolidaritáshoz, „mert a nemzet fővárosa csak így teljesítheti be azt a morális felelősségét, hogy legyen honnan visszatérni, ha egyszer képessé válunk megbékíteni hazát, megbékíteni a lelkünket, és megtalálni újra mindazt, ami nemzetté emel bennünket”.",https://hvg.hu/itthon/20251224_karacsony-gergely-uzenet-budapest
"A zebra és a Z generáció: az alkohol még mindig öl, butít és nyomorba dönt, de talán kevesebb áldozata lesz",2025-12-24 12:30:00+00:00,hvg360,"Fenntartható fejlődés 2026A cikk a Fenntartható fejlődés 2026 című magazinban jelent meg először. A kiadványnak a hvg360-on megjelent cikkeititt találja. A magazinitt rendelhető meg.A zebra nemcsak a magyar belpolitikában vált jelképes állattá, hanem az 1990-es évek közepe és a 2010-es évek eleje között született Z generáció alkoholfogyasztási szokásaival kapcsolatban is. Azt jelenti, hogye korosztály tagjai a felmérések szerint felváltva isznak alkoholt és alkoholmentes italokat, és ebben az egészségtudatosság mellett a fenntarthatóság igénye is szerepet játszik.Olyan alkoholmentes vagy alacsony alkoholtartalmú italokat fogyasztanak, amelyeknek vannak alkoholos megfelelőik. Az esetek négyötöd részében ez sör, a maradék pedig az ilyen tulajdonságokkal bíró égetett szesz és a bor. Napjainkban világszerte feljövőben vannak a palackozott koktélok – angolszász iparági szleng szerint mocktailok –, amelyek a megszokott mojitó vagy cuba libre élményét kínálják, csak éppen jóval alacsonyabb alkoholtartalommal.Dobogós helyenA globális alkoholpiac 1800 milliárd dolláros tengerében egyelőre nem több apró cseppnél az alkoholmentes és alacsony alkoholtartalmú italok (az angolból átvett rövidítéssel NoLo, azaz non-alcoholic és low alcohol) nagyjából 20 milliárdos forgalma. Ám míg a „hagyományos” szeszes italok eladásai alig emelkednek, a londoni székhelyű IWSR iparági elemzőcég előrejelzése szerint a NoLo-szektor 2024–2028 között évi átlagban legalább 4 százalékos ütemben növekszik. Ezt a globális NoLo-piac 70 százalékát adó tíz ország (USA, Kanada, Nagy-Britannia, Franciaország, Spanyolország, Németország, Dél-Afrika, Japán, Ausztrália és Brazília) trendjéből szűrték le.",https://hvg.hu/360/20251224_fenntarthato-fejlodes-2026-Jozan-mamor
"Az Európai Bizottság elítélte, hogy Washington kitiltott öt európai tisztségviselőt az USA-ból",2025-12-24 12:22:00+00:00,Gazdaság,"Az Európai Bizottság elítélte, hogy az amerikai külügyminisztérium beutazási tilalmat rendelt el öt európai, köztük egy volt EU-s tisztségviselő ellen, az online tér “cenzúrázására” hivatkozva.„Az Európai Bizottság határozottan elítéli az Egyesült Államok döntését, amely utazási korlátozásokat vezet be öt európai személlyel, köztük Thierry Breton volt európai biztossal szemben” – fogalmazott közleményében a brüsszeli testület szerdán.Kijelentették: a szólásszabadság alapvető jog Európában, és az Egyesült Államokkal közösen képviselt érték a demokratikus világban.„Az EU egy nyitott, szabályokon alapuló egységes piac, ahol szuverén jogunk van a gazdasági tevékenységet demokratikus értékeinkkel és nemzetközi kötelezettségvállalásainkkal összhangban szabályozni” – fogalmaztak.Amerikai szankciós listára kerülhetnek uniós tisztviselők az EU digitális szabályozása miattA tervek szerint vízumkorlátozással sújtanák azokat az uniós vagy tagállami hivatalnokokat, akik végrehajtják a 2024-ben hatályba lépett törvényt.Az uniós bizottság hangsúlyozta: az EU digitális szabályai biztonságos, tisztességes és egyenlő versenyfeltételeket szavatolnak minden vállalat számára, tisztességesen és megkülönböztetés nélkül alkalmazva. Közölték: az Európai Bizottság magyarázatot vár az Egyesült Államok hatóságaitól, miközben továbbra is együttműködik Washingtonnal.„Szükség esetén azonban gyorsan és határozott válaszlépéseket teszünk szabályozási autonómiánk védelme érdekében az indokolatlan intézkedésekkel szemben – tette hozzá közleményében az uniós bizottság.Az Egyesült Államok öt európai – köztük Thierry Breton volt európai uniós biztos – ellen vezetett be beutazási tilalmat; a lépést az amerikai külügyminisztérium keddi közleménye az amerikai online platformok cenzúrázásával indokolta.Az öt érintett a tárca közleménye szerint „cenzúrát próbált rákényszeríteni az amerikai platformokra, igyekezve elnyomni azokat az amerikai nézőpontokat, amelyekkel nem értenek egyet”.(Fotó: AFP / Brendan Smialowski)",https://hvg.hu/gazdasag/20251224_europai-bizottsag-kitiltas-tisztsegviselok
