title,pub_date,category,body,link
Karácsonyi bakiparádé – ezek maradnak utolsó pillanatra a politikusoknál (VIDEÓ),2025-12-24 09:59:50+00:00,Belföld,"Karácsonyi bakikról vallottak a kormány tagjai Orbán Viktor szerdai videójában. Lázár János építési és közlekedési miniszter arra a kérdésre, hogy van-e olyan, ami minden évben elromlik vagy nem gyullad ki, azt felelte, hogy, igen, az én vagyok”. Orbán Balázs, a miniszterelnök politikai igazgatója elárulta, hogy náluk odahaza állandó vita tárgyát képezi, hogy egyszínű vagy többszínű legyen-e a karácsonyfa, amit a Jézuska hoz.„A Jézuska egyik fele a többszínűt szereti (itt magára mutatott mosolyogva – szerk.), a másik fele pedig az egyszínűt”. Arra a kérdésre, hogy milyen lesz, Orbán azt felelte, hogy„nyilván egyszínű”. Orbán Viktor elárulta, hogy náluk a családban a készülődés végén mindig kiderül, hogy szaloncukor drótkampó az nincs, és akkor helyette jöhet a cérna. Szalay-Bobrovniczky Kristóf pedig rendszeresen elfelejti, hol van az a csengő, amit akkor szokott megrázni a Jézuska, ha a gyerekek bemehetnek a szobába. Gulyás Gergely Miniszterelnökséget vezető miniszternél pedig mindig az utolsó pillanatra marad a karácsonyfa vásárlása. Az pedig egyelőre rejtély, hogy a tárcavezető idén szelfizik-e a fával. Vitályos Eszter kormányszóvivő pedig felidézett egy olyan karácsonyt, amikor a szomszédjuk bezárta a pince ajtaját, így nem tudták felhozni időben a karácsonyfadíszeket. Végül december 24-én reggel kellett az utolsó pillanatban beszerezni újakat. De mint megjegyezte, ez csak egyszer fordult elő. A vonatkozó bejegyzést alább tekintheti meg: Nyitókép: Orbán Viktor Facebook-oldala",https://mandiner.hu/belfold/2025/12/karacsonyi-bakiparade-ezek-maradnak-utolso-pillanatra-a-politikusoknal-video
"„Itt nincsenek sem iszlamisták, sem feketékből álló bandák, biztonságban vagyunk” – így vélekednek a német fiatalok Budapestről (VIDEÓ)",2025-12-24 09:35:24+00:00,Belföld,"Gulyás Virág, a Mandiner munkatársa is hazatért az ünnepekre Magyarországra, és hogy leküzdje a jetlag-ét, kiment a Parlament elé és a Vörösmarty téri karácsonyi vásárba, és megkérdezett pár külföldit, mit gondolnak az országról és az itt uralkodó helyzetről. Többek között belebotlott néhány német fiatalba, akik egy metálkoncertre érkeztek hazánkba. Kérdésre válaszolva elmondták, hogy sokkal nagyobb biztonságban érzik magukat a budapesti vásárben, mint odahaza Németországban. A három férfi közül az egyik kiemelte, hogy itt nincsenek sem iszlamisták, sem feketékből álló bandák. Míg a másikuk azt is elárulta, hogy politikailag aktívak, őmaga pedig az AfD tagja. Mint fogalmazott, a saját és a környezete biztonsága és védelme érdekében fontos, hogy sportoljon, bokszoljon, illetve, hogy az is, hogy„az elméjét is karban tartsa”. A társaság harmadik tagja arra is rámutatott, hogy egyértelműen a 2015-ös migránsválság után lett rosszabb a helyzet. Azután kellett a karácsonyi vásárokat betontömbökkel védeni az esetleges támadásoktól, és fokozott rendőri jelenlétet biztosítani az ünnepi rendezvényeken. Influenszerünk a Parlament előtt egy olyan indiai férfival beszélgetett, aki elmondta, hogy immár második alkalommal tért vissza Budapestre. Arra a kérdésre, hogy miért „duplázott”, azt felelte, hogy„nosztalgiából”, és mindent rendben talál az országban és a városban. De Gulyás Virág beszédbe elegyedett egy fiatal görög nővel is, aki azért választotta eredetileg úticéljául Budapestet, mert olcsóbb volt, mint egy prágai kirándulás, de időközben arra is rájött, hogy mennyire biztonságos a magyar főváros. Arról is szólt, hogy bár szeret Görögországban élni, az ottani fiatalok nem igazán válogathatnak a munkák között, és a generációja számára egy saját lakás vagy ház megvásárlása jóformán csak egy álom. A vonatkozó bejegyzést alább tekintheti meg: Nyitókép: Képernyőfotó",https://mandiner.hu/belfold/2025/12/itt-nincsenek-sem-iszlamistak-sem-feketekbol-allo-bandak-biztonsagban-vagyunk-igy-velekednek-a-nemet-fiatalok-budapestrol-video
„Igazi luxus” – kielemezték Szoboszlaiék karácsonyát,2025-12-24 09:14:18+00:00,Sport,"Különleges karácsonya leszSzoboszlai Dominiknak.A hússzoros angol bajnok magyar válogatott labdarúgója immár édesapaként várhatja az ünnepeket. Felesége, Buzsik Borka közösségi médiás tartalmaiból pedig az is kiderül, hogy zajlik a készülődés. Az egyik, 24 óráig elérhető Instagram-sztoriban a karácsonyfájukról is megosztott egy fotót, ami a szemfüleseknek elég volt ahhoz, hogy kielemezzék a részleteket. A Fejér Megyei Hírportál,a Feol.hu szerint„a gyönyörű nordmann fenyő modern, skandináv trendeket követő letisztult, visszafogott és elegáns díszítést kapott – nincs túlzó csillogás vagy harsány színek, luxus azonban igen. Mint írják, a díszeket egy prémium karácsonyi üzletben válogathatta össze a család, a kosárba pedig ott landolt a Christian Dior-divatház exkluzív karácsonyfadísz-kollekciója is, amely 450 euró körüli áron mozog, azaz jelenleg nagyjából 175 ezer forintba kerül – mindezt négy díszért.” A Feol cikke úgy zárul, hogy a legszebb talán mégsem a dekoráció a Szoboszlai család számára, hiszen ez az első alkalom, hogy kislányukkal együtt hármasban töltik a karácsonyi ünnepeket, amelyet egy fehér mackó formáz meg a fán, a hasára írva, hogy 2025-ben váltak szülővé. Mint arrólbeszámoltunk, szombaton kettős emberelőnyben végül egyetlen góllal, 2–1-re nyert a Liverpool a Tottenham otthonában a Premier League 17. fordulójában. A kezdő tizenegybe jelölt Szoboszlai Dominik és Kerkez Milos is végigjátszotta a londoni mérkőzést, amelynek hajrájában előbbi sárga lapot kapott, így ki kell hagynia a ligautolsó Wolves elleni szombati bajnokit. Azt egyelőre nem tudni, Kerkez pályán lesz-e a kezdő sípszótól a Vörösöknél, elképzelhető, hogy Arne Slot vezetőedző ezúttal a skót Andrew Robertsonnak szavaz majd bizalmat a balhátvéd poszton. Nyitókép: Paul Ellis / AFP",https://mandiner.hu/sport/2025/12/szoboszlai-csalad-liverpool-karacsony-igazi-luxus
Újabb merénylet Moszkvában – halálos áldozatok is vannak,2025-12-24 09:05:33+00:00,Külföld,"Három ember, köztük két rendőr vesztette életét, amikor szerdán kora reggel felrobbant egy bomba Moszkvában. A detonáció ugyanabban az utcában történt, ahol mindössze két nappal korábbanegy orosz tábornokhalt meg egy feltételezett autós bombamerényletben – írta azEuronews. A hatóságok közlése szerint a robbanás akkor következett be, amikor járőröző rendőrök egy gyanúsan viselkedő férfihez léptek oda – tette hozzá a lap. Az Oroszországi Nyomozó Bizottság (IRC) közölte,„a két közlekedési rendőr egy gyanús személyt vett észre egy rendőrautó mellett”. „Amikor megközelítették, hogy feltartóztassák, egy robbanószerkezet lépett működésbe. A sérülések következtében a két rendőr, valamint a mellettük álló személy is életét vesztette”– tette hozzá az IRC egy Telegram-bejegyzésben. Több orosz hírtelevízió is arról számolt be, hogy a feltételezett elkövető a három áldozat egyike volt. Az Euronews ezeket az állításokat független források nem tudták megerősíteni. Nyitókép illusztráció. Fotó: Pixabay",https://mandiner.hu/kulfold/2025/12/ujabb-merenylet-moszkvaban-halalos-aldozatok-is-vannak
"Milyen érdekes, hogy a háborút támogató országokban adóemelésekkel és megszorításokkal indul az év!",2025-12-24 08:56:36+00:00,Vélemények,"„Milyen érdekes, hogy a háborút támogató országokban adóemelésekkel és megszorításokkal indul az év! Nálunk nem így lesz: minden eddiginél több pénz marad a családoknál és a vállalkozásoknál. Ezért is jobb abéke.” Nyitókép: Kocsis Máté Facebook-oldala",https://mandiner.hu/belfold/2025/12/milyen-erdekes-hogy-a-haborut-tamogato-orszagokban-adoemelesekkel-es-megszoritasokkal-indul-az-ev
Nem lankad a Demjén-varázs – a tinédzserek is ott csápolnak a koncerteken (VIDEÓ),2025-12-24 08:28:41+00:00,Kultúra,"Legyen ünnep – a Kollázs első epizódjában a magyar könnyűzene legendájával, Demjén Ferenccel beszélget a Mandiner szerkesztőségének új tagja, Mészáros Nóra. Az interjú során szóba került a rekordnézettségűHogyan tudnék élni nélküled?című film és az abból készülő musical is. A műsorvezető elmondta, hogy a filmben felcsendülő Demjén-dalok nagyon sok fiatalt megszólítottak, és gyakorlatilag bevonzottak egy újabb generációt a zenész koncertjeire. A tinédzserek is ott csápolnak a koncerteken. Egy generációs hidat képeztél” – jelentette ki Mészáros Nóra. Erre Demjén Ferenc – aki nemrég ünnepelte a 79. születésnapját – úgy reagált, hogy„legalább még 20-30 évig csápoljanak”. A vonatkozó interjúrészletet alább tekintheti meg: Nyitókép: Facebook",https://mandiner.hu/kultura/2025/12/nem-lankad-a-demjen-varazs-a-tinedzserek-is-ott-csapolnak-a-koncerteken-video
„Rendkívüli karácsony” – magyar játékos elképesztő mozdulata tartja lázban Németországot,2025-12-24 08:16:19+00:00,Sport,"A rövid beszámolók szerint Palasics Kristóf és Bartucz László is öt védéssel, Sipos Adrián pedig gól nélkül zárt az MT Melsungenben, amely néhány nappal ezelőtt 26–26-os döntetlennel távozott a HC Erlangen otthonából a német élvonalbeli férfi kézilabda-bajnokságban. Csakhogy Németországban a liga 275 ezer követővel rendelkező hivatalos közösségi oldala,a DAIKIN HBLfelidézte, milyen körülmények között alakult ki a végeredmény. A mérkőzés ugyanis időn túli hétméteressel zárult: ha a hazaiak játékosa, Viggó Kristjánsson belövi, az Erlangen nyer. Ennél feszültebb végjáték már nem is lehetne – írják a posztban. A 199 centiméter magas Palasicsnak ugyanakkor kötélből voltak az idegei, és bár Kristjánsson több lövőcselt is bemutatott, hatalmas bravúrral, a lábát a magasba emelve kirúgta a hetest, megmentve ezzel az egyik pontot a Melsungennek. A védést eddig több mint 110 ezren nézték meg. Válogatottunk23 éves kapusa a Magyar Nemzetnek elmondta: rendkívüli karácsonya lesz, először tölti kettesben az ünnepeket a barátnőjével Németországban. „Még akkor is meghitt és különleges lesz az ünnep, ha edzés és egy fontos bajnoki vár ránk. Húsimádó vagyok, így karácsony előtt elmentünk steakezni, de spanyol étteremben is voltunk. Szentestére otthon főzünk és sütünk is. A Nutella a kedvencem, így már néhány recepttel is készültem, amit elkészítünk karácsonyra. A meccs után megyünk haza mi is, Gödöllőn leszünk. Sok idő nincs arra, hogy kicsit kikapcsolódjak, de azért igyekszem lassítani egy kicsit és feltöltődni az Európa-bajnoki felkészülés előtt”–fogalmazott a lapnaka fiatal játékos. A Melsungen szenteste délelőttjén és karácsony első napján is pályán lesz, és készül a Stuttgart elleni december 26-i bajnokira. Fotók: MTI/Illyés Tibor",https://mandiner.hu/sport/2025/12/nemetorszag-palasics-kristof-hetes-vedes-karacsony
"„Nem normális időket élünk, hosszú és nehéz tél vár Ukrajnára” – borúsan látja a jövőt az ENSZ egykori amerikai nagykövete",2025-12-24 08:04:04+00:00,Külföld,"John R. Bolton, az ENSZ volt amerikai nagykövete és Donald Trump elnök korábbi nemzetbiztonsági tanácsadója aWashington Postbanarról írt, hogy az, hogy nem sikerült megállapodásra jutni az Európai Unió múlt heticsúcstalálkozójánabban a kérdésben, hogy a mintegy 210 milliárd eurónyi befagyasztott orosz állami vagyont fedezetként használják fel egy Ukrajnának nyújtandó újjáépítési hitelhez, azt mutatja az Európai Unió kevesebb mint tagállamainak összessége. A tanácsadó felidézte, hogy a Trump-adminisztráció korábban igyekezett megakadályozni az európai terveket, amelyek az orosz vagyon felhasználását célozták volna egy amerikai béketerv részeként. Az Egyesült Államok aggályai szerinte két fő irányból érkeztek: Bolton szerint ezek a kockázatok hosszú távon súlyosabbak, mint az orosz vagyon felhasználásából származó rövid távú előnyök. Ugyanakkor Bolton hangsúlyozta: függetlenül attól, hogy az EU eredeti terve életképes volt-e, Trump beavatkozása és az unió kudarca tovább mélyítette a nyugati megosztottságot. Az EU üzenete szerinte gyenge volt: Európa támogatja Ukrajnát, de nem teljes mértékben – húzta alá. Az amerikai elnök volt nemzetbiztonsági tanácsadója szerint nem meglepő, hogy Vlagyimir Putyin úgy érzi, az idő neki dolgozik, különösen annak fényében, hogy a közvélemény-kutatások csökkenő francia és német társadalmi támogatást mutatnakUkrajnairánt, miközben Európa nem képes pótolni az Egyesült Államok csökkenő segítségét. A volt nagykövet írásában hangsúlyozta: a várakozások ellenére Moszkva és Kijev továbbra is messze áll egymástól. Mivel Trump kevésbé törődik az Egyesült Államok, a NATO vagy Ukrajna biztonsági érdekeivel, mint saját politikai ambícióival, John R. Bolton szerint logikus lenne, hogy az európai vezetők töltsék be ezt az űrt – erre azonban kevés esélyt lát. Hiszen Franciaország, Németország és Nagy-Britannia belpolitikai válságokkal küzd, ami megbénítja a határozott fellépést – húzta alá. Összegzésként Bolton azt írta: az ukrajnai válság világosan megmutatta, hogy az Európai Unió – ambíciói ellenére – nem kompetens a béke és a biztonság kérdéseiben. A korábbi tanácsadó felvetette, hogyMark Ruttelehetne az egyik legalkalmasabb vezető szereplő, tekintettel Trumppal ápolt kapcsolataira és európai NATO-s kötődéseire, bár szerinte nem normális, hogy egy NATO-politikus vállaljon ilyen szerepet. John R. Bolton elemzését azzal zárta, hogy„nem normális időket élünk”, végül hozzátéve: Ukrajnának és a Nyugatnak talán„vidám karácsonyban”kell reménykednie, mert hosszú és nehéz tél vár rájuk. Nyitókép: MTI/EPA/Szerhij Dolzsenko",https://mandiner.hu/kulfold/2025/12/nem-normalis-idoket-elunk-hosszu-es-nehez-tel-var-ukrajnara-borusan-latja-a-jovot-az-ensz-egykori-amerikai-nagykovete
„A Trump-kormányzat a továbbiakban ezt nem fogja eltűrni” – kemény üzenetet küldött Európába Trump külügyminisztere,2025-12-24 07:42:54+00:00,Külföld,"Ahogy arról aMandineris beszámolt, szankcionálja az Amerikai Egyesült Államok Thierry Breton francia politikust, aki Ursula von der Leyen első Európai Bizottságában belső piacért felelős biztosként dolgozott – közölte az X-en Sarah B. Rogers amerikai külügyi államtitkár. A szankció közvetlen indoka az, hogy Breton a DSA-ra hivatkozva fenyegette meg Elon Muskot Donald Trump elnökkel folytatott online beszélgetése előtt az amerikai elnökválasztási kampányban. A történtekre ugyancsak az X-en reagált Marco Rubio, a Trump-kabinet külügyminisztere is. Mint írta,„Európában már túl régóta vannak olyan ideológiai csoportok, amelyek szervezetten próbálják rákényszeríteni az amerikai online platformokat arra, hogy büntessék azokat az amerikai véleményeket, amelyekkel nem értenek egyet. A Trump-kormányzat ezt a fajta, határokon átnyúló cenzúrát a továbbiakban nem fogja eltűrni”. Ezért az Egyesült Államok Külügyminisztériuma lépéseket tesz annak érdekében, hogy a globális cenzúrával foglalkozó hálózat meghatározó szereplői ne léphessenek be az Egyesült Államokba. „Ha mások sem változtatnak az irányon, készek vagyunk bővíteni ezt a listát” – tekintett előre Rubio. A vonatkozó bejegyzést alább tekintheti meg: For far too long, ideologues in Europe have led organized efforts to coerce American platforms to punish American viewpoints they oppose. The Trump Administration will no longer tolerate these egregious acts of extraterritorial censorship.Today,@StateDeptwill take steps to… Nyitókép: ANDREW CABALLERO-REYNOLDS / AFP",https://mandiner.hu/kulfold/2025/12/a-trump-kormanyzat-a-tovabbiakban-ezt-nem-fogja-elturni-kemeny-uzenetet-kuldott-europaba-trump-kulugyminisztere
Magyar Péter megkapta élete legszörnyűbb karácsonyi ajándékát,2025-12-24 07:10:56+00:00,Vélemények,"„A december 18–19. között végzett telefonosközvélemény-kutatásszerint a Fidesz–KDNP (51 százalék) tovább növelte előnyét a Tisza Párttal szemben: a novemberben mért 10 százalékpontos különbség decemberre 13 százalékpontra emelkedett. A kormánypártok támogatottságának növekedése mögött több tényező együttes hatása állhat: A 2025-ös év utolsó három hónapjának adatai alapján egyértelműen kijelenthető, hogy ezt az időszakot a Fidesz–KDNP politikailag megnyerte – olvasható a kutatásban. Ezzel a friss eredménysorral gyanítható, hogyMagyar Pétermegkapta élete legszörnyűbb karácsonyi ajándékát. Ilyen, amikor szembejön a valóság.” Nyitókép: Mandiner/Földházi Árpád",https://mandiner.hu/belfold/2025/12/magyar-peter-megkapta-elete-legszornyubb-karacsonyi-ajandekat
