title,pub_date,category,body,link
Újabb döbbenetes botrány robbant ki az amerikai tornasportban,2025-12-24 10:03:07+00:00,Sport,"Az Egyesült Államokban 2017 óta létezik egy olyan sportszervezet, amelyet azért hoztak létre, hogy az ország sportolói biztonságban legyenek, s ha bárki komoly visszaélést tapasztal, ennek a testületnek jelentse. Mostaz amerikai tornasportkerült célkeresztbe.Az amerikai tornasportot megrázó botrány egyik főszereplője, Al Fong (a képen balra)Fotó: LUIS ROBAYO / AFPAz amerikai tornasport újabb megrázó botrányaNos, most ez a szervezet lépettés függesztett fel két, világhírű tornaedzőt. Al Fong és Armine Barutyan világszerte ismert trénerek, akik korábban olimpiai és világbajnokokat is neveltek. A vád most az ellenük, hogy fizikailag és érzelmileg is bántalmazták a rájuk bízott sportolókat.Fong és Barutyan a Missouri államban, Blue Springsben található Great American Gymnastics Express (GAGE Center) alapítói. A két edző évtizedek óta nevelt tornászokat, köztük a közelmúltbeli világbajnokokat és olimpiai tartalékokat, Leanne Wongot és Kara Eakert, valamint a 2004-es olimpiai ezüstérmeseket, Terin Humphrey-t és Courtney McCool-t.Fong eltiltása 2030. december 22-ig érvényes.Az egy évre eltiltott Barutyan tagja volt az amerikai szövetség edzői stábjának a novemberi junior világbajnokságon és az augusztusi junior Pánamerikai Játékokon, mivel mindkét csapatban versenyzett a GAGE ​​tornásza, Lavi Crain.A két eltiltott edző által alapított központ közleményt adott ki. Ebben az áll, hogy egyáltalán nem értenek egyet az eltiltással, s értetlenül állnak a történtek előtt.Ugyanakkor az Egyesült Államok tornaszövetsége és az eltiltást meghozó szervezet sem akarta kommentálni a történteket.Al Fongnak már korábban voltak botrányos ügyei. Az 1990-es években két olyan tornász is meghalt, aki Fong kezei alatt nevelkedett. 1991-ben a 18 éves Julissa Gomez azután halt meg, hogy egy ugrást követő balesetben lebénult. A 22 éves Christy Henrich 1994-ben halt meg. Halálának oka az éhezés okozta szervleállás volt. Azért éhezett, mert az edző azt mondta neki, hogy fogynia kell.",https://magyarnemzet.hu/sport/2025/12/tornasport-amerika-botrany
"Itt van Zelenszkij 20 pontos béketerve, erre Moszkva lépni fog",2025-12-24 09:50:42+00:00,Külföld,"Ezenkívülkidolgoztakegy háromoldalú biztonsági garanciamegállapodás tervezetét Ukrajna, az Egyesült Államok és Európa között, valamint egy kétoldalú biztonsági garanciamegállapodást Ukrajna és az Egyesült Államok között. Egy másik, Kijev és Washington között létrejött dokumentum a gazdasági együttműködésre összpontosít, és „Ukrajna jólétének ütemtervének” nevezték – írja a The Kyiv Independent cikkére hivatkozva azOrigo.Volodimir Zelenszkij ukrán elnök Fotó: AFPJelentős előrelépést tettünk a dokumentumok véglegesítése felé– mondtaZelenszkij.Az Egyesült Államok várhatóan december 24-én később átadja Moszkvának a 20 pontos tervezetet. Jóváhagyás esetén a végleges dokumentumot Ukrajna, az Egyesült Államok, Európa és Oroszország vezetőinek kell aláírniuk. Az európai fél részéről egy esetleges megállapodás aláíróiról még nem született döntés – olvasható a portálon.A tűzszünet várhatóan a megállapodás aláírását követően azonnal hatályba lép. Ahhoz, hogy a megállapodás hatályba lépjen, az ukrán parlamentnek ratifikálnia kell és/vagy az ukrán népnek támogatnia kell egy népszavazáson, amelyre esetleg 60 napon belül kerülne sor.Ukrajna és az Egyesült Államok eddig nem jutott megállapodásra a felülvizsgált terv két kulcskérdésében, a 12. és a 14. pontban, amelyek az Oroszország által megszállt zaporizzsjai atomerőmű, illetve a 2014 óta háború sújtotta Donbász régió ellenőrzésére vonatkoznak. A tervezet emellett nem tér ki Ukrajna NATO-tagsági törekvéseire sem.",https://magyarnemzet.hu/kulfold/2025/12/zelenszkij-20-pontos-beketerv
"Ezek azok az utolsó pillanatos karácsonyi bakik, amelyeket Orbán Viktor és a miniszterei elkövetnek + videó",2025-12-24 09:42:31+00:00,Belföld,"Mi az, ami szenteste napján mindig az utolsó pillanatban derül ki, hogy összebogozódott, elromlott, kiégett, eltörött?  – szegezték a kérdést a kormánytagoknak a miniszterelnökFacebook-videójában. Orbán Balázs elmondása szerint náluk állandó vita az, hogy egy-, vagy többszínű legyen-e a karácsonyfa, amit a Jézuska hoz. – És a Jézuska egyik fele a többszínűt szereti, a másik fele pedig az egyszínűt, és nagy küzdelem – magyarázta.Arra a kérdésre, idén milyen színű lesz, azt válaszolta: „Nyilván egyszínű”. Sejthető, a miniszterelnök politikai igazgatója nem szereti a többszínű égősort. Orbán Viktornak hasonló módon szintén a díszítéssel vannak problémái.Az derül ki mindig a végén, hogy szaloncukorhoz való drótkampó az nincs. És akkor jöhet a cérna– árulta el.Fenyővásárlás az utolsó pillanatbanA honvédelmi miniszternek a „Jézuska csengője” miatt fáj a feje minden évben. – Mielőtt a gyerekek beszaladnak a szobába, már nem olyan picik sajnos, de azért ott mindig van nálunk egy csengő. Azt sose tudom, hogy hova tettem, hova tette a Jézuska! – fogalmazott Szalay-Bobrovniczky Kristóf.Gulyás Gergelypedig mint kiderült, mindig az utolsó pillanatra hagyja a fenyőfa megvásárlását.A Miniszterelnökséget vezető miniszter viszont még sosem maradt emiatt karácsonyfa nélkül, minden évben tölt fel egy képet róla. Elárulta, talán idén is megmutatja. Vitályos Eszter felidézte, egy alkalommal nagyon stresszes helyzetbe hozta szenteste napján a szomszédja.Bezárta a pincét, és az összes karácsonyfadísz ott volt, és az angyaloknak nehéz dolga volt. 24-én reggel még elszaladtak egy beszerző körútra– mesélte a kormányszóvivő. Bóka Jánosnak viszont van egy minden évben visszatérő problémája: családjával a garázsban tárolják a karácsonyfadíszeket, a jó része az pedig mindig elkallódik szenteste napjára.Akinél a feleség a biztosítékHankó Balázs a többiekkel ellentétben teljesen máshogy áll a kérdéshez, szerinte az ilyen bakik nem lényegesek. – Ha már együtt van a család, akkor minden rendben van és jó – hangsúlyozta. Kérdésre elárulta azt is, az sem probléma, ha összetörik a csúcsdísz: három darabról indultak, most járnak kettőnél, szóval van tartalék.",https://magyarnemzet.hu/belfold/2025/12/ezek-azok-az-utolso-pillanatos-karacsonyi-bakik-amelyeket-orban-viktor-es-a-miniszterei-elkovetnek-video
Ezért szenved Szoboszlai mellett a világ egyik legjobb futballistája,2025-12-24 09:36:20+00:00,Sport,"A 36 éves rutinos támadó a Süddeutsche Zeitungnak adott interjúban beszélt erről, s úgy fogalmazott, sportszakmai szempontból a 22 éves futballista bizonyára jobban járt volna egy müncheni szerződéssel.Florian Wirtzezt alaposan elmérte.Florian Wirtz, akinek nem lett volna szabad Liverpoolba igazolnia. Fotó: AFP/Paul EllisItt követte el az óriási hibát Florian Wirtz„Könnyebben tudott volna alkalmazkodni a megváltozott környezethez, mivel ugyanabban a ligában marad” –fejtette ki Thomas Müller, utalva arra, hogy Wirtz a Bayer Leverkusentől igazolt Angliába. A Bayernnél 2008 és 2025 között futballozó Müller ugyanakkor jelezte, azoknak a német válogatott játékosoknak, akik Münchenben szerepelnek, fokozott médiafigyelemre kell számítaniuk olyan időszakokban, amikor a bajor együttes gyengébben teljesít. „Ott ez mindennapos esemény” – jelentette ki.A 37-szeres német válogatott Wirtza nyári átigazolása óta 16 alkalommal játszott a Liverpoolban bajnoki meccsen, de gólt még nem sikerült szereznie.",https://magyarnemzet.hu/sport/2025/12/florian-wirtz-liverpool-igazolas
"Íme a villanyautó, amely több mint 1100 kilométert tesz meg autópálya-tempóval",2025-12-24 09:17:08+00:00,Autó-Motor,"December közepén a Renault radikális koncepcióautója10 óra alatt több mint 1000 kilométert tett meg(7,8kWh/100 km-es fogyasztást produkálva 102 km/h átlagsebesség mellett), ami világrekord. A francia autógyártó szerint ez azt mutata, hogy „a négyjegyű hatótávolság elérhető autópályához hasonló körülmények között is”. A Filante persze nem egy szériagyártású tömegautó, hanem egy futurisztikus, együléses elektromos koncepció, amelyet hatékonysági rekordok felállítására terveztek. Egyébként ugyanazt a 87 kWh-s akkumulátort használja, mint aRenault Scenic E-Tech Electric.A rekorddöntésben részt vett három pilóta 239 kört tett meg az UTAC 4 kilométeres pályáján, Marokkóban. Fotó: RenaultA Filante Record 2025a rekorddöntő tízórás menetet az akkumulátor 11 százalékos töltöttségével fejezte be,ami a Renault szerint lehetővé tette volna, hogy még közel 130 kilométert tegyen meg több mint 100 km/h sebességgel. A kísérlet – amelyet a marokkói UTAC tesztlétesítményben végeztek – körülményei különösen fontosak voltak, mivel a cél az volt, hogy bemutassák az eredmény valós relevanciáját, és nem pedig az, hogy egyszerűen egy újabb elektromos autós távolságrekordot állítsanak fel.Az autó saját tömege egytonna, ebből közel 600 kilogramm az akkumulátor. Fotó: Renault„Ha az egyetlen célunk az lett volna, hogy a lehető legnagyobb távolságot tegyük meg két feltöltéssel, akkor még nagyobb akkumulátorral szerelhettük volna fel az autót, vagy átlagosan csak 30 km/h-val, öko üzemmódban vezethettük volna” – közölte a cég.Ez a hatótávrekord azért különleges, mert gyors tempó mellett érték el. Fotó: Adrien Cortesi / RenaultKülönösen könnyű, alig 400 kg-ot nyom a karosszéria,amit újfajta megoldások alkalmazásával sikerült elérni. Mindenhol olyan anyagot használnak, ami az ott szükséges igénybevételhez ideális, tehát vannak még acél alkatrészek is, de a legtöbb fém alkatrész 3D-nyomatással alumíniumból készült, a burkolatok karbonból. Utóbbi különlegessége, hogy épp csak ott van több réteg karbonszövet, ahol a számítógépes tervezés során megállapították, hogy arra szükség van.Különleges az irányítás is, a mérnökök by-wire rendszert készítettek, ami nagyban megkönnyíti a vezetést.A sofőr előtti irányítószarv és a kerekek között csak elektronikus kapcsolat van,az elektronika a kerekek elfordítása mellett akár célzott fékbeavatkozással (ez lehet akár a hidraulikus fék vagy épp a villanymotor nyomatékának szabályozása) is tud forgatónyomatékot kelteni irányváltáshoz – a megcélzott bőven 300 km/feletti tempónál ez is elég lehet az egyenesben tartáshoz.",https://magyarnemzet.hu/auto-motor-2/2025/12/renault-filante-hatotavrekord
Ez Németország: templomban mutatta be előadását a rúdtáncosnő + videó,2025-12-24 09:09:10+00:00,Külföld,"A BILD szerint a lübecki „istentiszteletre”, amelyen rúdtánc fellépés is volt idén decemberben került sor. Anke Kestermann stúdióvezető és rúdtánc-edző közvetlenül a prédikáció után jelent meg,bemutatva „művészetét”, ami egy „új hozzáférést ígért a hithez”, azonban azt a gyülekezet sok tagja nem helyénvalónak és bosszantónak tartotta – írja a raskolam.net.Rúdtánc – Képünk illusztráció Fotó: AFPKesterman kifejtette, hogy előadása a bátorságot és az egyház szerepének újraértelmezésére irányuló vágyat kívánta demonstrálni. A kritikusok azonban a szórakoztatás és az istentisztelet problematikus keverékének tekintették. Hangsúlyozzák, hogy a rúdtánc, a technikai kivitelezéstől függetlenül, az önkifejezés egyik formája, amely szorosan kapcsolódik az erotikához, ami szerintük ellentmond a templom szakrális terének.🇩🇪 St Mary's Church in Lübeck, Germany has welcomed a pole dancer to perform during mass.Anke Kestermann (50) explained that her performances are about ""bravery"" and ""introducing new things"" to the congregation.Follow:@europapic.twitter.com/8xxcICUdZC— Europa.com (@europa)December 22, 2025Azt az érvet, hogy „a tánc lehet ima”, a konkrét vallási utalás hiánya miatt lényegtelennek minősítették – teszi hozzá a portál.",https://magyarnemzet.hu/kulfold/2025/12/rudtanc-eloadas-templom
Ezért jobb a béke: Jövőre még több pénz marad a családoknál,2025-12-24 08:52:56+00:00,Belföld,"Kocsis Máté a közösségi oldalán érdekesnek nevezte, hogy a háborút támogató országokban adóemelésekkel és megszorításokkal indul az év. A Fidesz frakcióvezetője emlékeztetett, hogy Magyarországon ez nem így lesz: minden eddiginél több pénz marad a családoknál és a vállalkozásoknál.Ezért is jobb a béke– jegyezte meg.Fontos intézkedések lépnek életbe januártólGulyás GergelyMiniszterelnökséget vezető miniszter a keddiKormányinfónrészletesen ismertette, hogy milyen változások lépnek életbe január elsejétől. Mint ismert, januártól teljessé válik a családi adókedvezmény megduplázása, ez ötvenszázalékos emelést jelent. Egy gyermek esetén húszezer, két gyermek esetén nyolcvanezer, három gyermek esetén 198 ezer forinttal több marad havonta a családoknál. Életbe lép a 30 év alattiédesanyák adómentessége, a 40 év alatti édesanyák esetében ez két gyermek vállalása esetén vehető igénybe.Megállapodás született a munkaadók és a munkavállalók között,így januártól 322 800 ezer forint lesz a minimálbér összege.A garantált bérminimum pedig 373 200 forint. A kis- és középvállalkozók alanyi áfamentességének mértéke húszmillió forintra emelkedik, a következő években 22 millióra, majd 24 millióra fogják emelni.A 13. havi nyugdíj kifizetése mellettmegkezdik a 14. havi nyugdíj fokozatos bevezetését.Az átlagnyugdíj 250 ezer forintra emelkedik. A közszolgálati dolgozóknak ingatlanvásárlási segítséget nyújtanak egymillió forint értékben. Folytatják a tanárok bérének emelését, a diplomások átlagbérének 80 százalékát már elérték, ezt tartják, ezért jövőre tízszázalékos emelést kapnak a pedagógusok, így 936 ezer forint lesz az átlagbérük. A hivatásos és szerződéses honvédek isBorítókép: Illusztráció (Fotó: Shutterstock)",https://magyarnemzet.hu/belfold/2025/12/csalad-beke-kocsis-mate
Nagyon rossz hírt kapott karácsonyra a magyar labdarúgó-válogatott kapusa,2025-12-24 08:49:56+00:00,Sport,"November elején a Bristol City elleni bajnoki hajrájában a 28 éves kapust le kellett lecserélni, néhány nappal később pedig porcleválás miatt átesett a műtéten.Tóth Balázs visszatérésére egyelőre várni kell. Fotó: AFP/Attila KisbenedekTóth Balázs egyelőre nem térhet visszaA beavatkozást követően a négyszeres válogatott labdarúgó elmondta, előreláthatólag négy-hat hetet kell kihagynia, mivel azonban az operáció után két nappal már nem használt mankót, reménykedett benne, hogy decemberben, a Portsmouth elleni bajnokin már újra kerettag lehet, a karácsony előtti utolsó fordulóban, a Millwall ellen pedig már pályára is léphet.A hatodik hét is letelt, de csak a napokban kezdhetem majd el a közös edzéseket a csapattal, így aztán nemhogy a Millwall, de pénteken a Middlesborough elleni Boxing Day-meccset is kihagyom– nyilatkozott az MTI-nek a kapus, aki hozzátette, az angliai, karácsonyi mérkőzésekhez hasonló nincs máshol a világon.– Angliában a futball is az ünnep része. Blackburnben átlagosan húszezer néző előtt játsszuk a meccseinket, de karácsony második napján megtelik a majd harminckétezres stadionunk – mondta, majd megindokolta, miért marad le idén is a felejthetetlen napról.A műtéti heg nem rugalmas, két-három héttel az operáció után masszíroztatni kellett volna, de ez csak a napokban kezdődött el.Nem tudtam, mitől fáj folyamatosan a térdem, el is voltam keseredve, hogy nem sikerült a műtét, de remélhetőleg az orvosok megtalálták az okát – tette hozzá Tóth Balázs, aki tavaly bokaszalag-szakadás miatt nem játszhatott az év végén.A sérüléstől és a meccsdömpingtől függetlenül az ünnepi asztalról nem hiányozhat kedvenc étele sem. – Rántott hús csirkemellből, krumplipürével. Tudom, nem szokványos karácsonyi étel, de ez a kedvencem – fogalmazott a kapus, aki egyébként Manchesterben lakik, egyórányi autóútra a Blackburn Rovers edzőközpontjától, illetve negyvenöt percre a stadiontól. – Ilyenkor lehet, hogy több,mert sok karácsonyi vásár van Manchesterben, rengeteg a turista, autóval pedig katasztrofális közlekedni.Olyan, mintha itt lenne a főváros – jelezte.",https://magyarnemzet.hu/sport/2025/12/toth-balazs-serules
"Robbanásokra ébredt Ukrajna, Putyin támadást indított",2025-12-24 08:47:45+00:00,Külföld,"Az ukrán légierő hajnalban több, észak felől érkező nagy sebességű célpontot észlelt Harkiv irányában, miközbenrobbanásokról számoltak be a helyiek. A város elleni támadás részleteiről egyelőre nincs hivatalos tájékoztatás, a légierő pedig már korábban rakétafenyegetésre figyelmeztette Ukrajna több régióját – derül ki a zn.ua cikkéből, amit azOrigovett észre.Egy rakétatámadás után Harkiv belvárosában. Fotó: AFP",https://magyarnemzet.hu/kulfold/2025/12/harkiv-hajnal-raketatamadas
"Gulyás Gergely: Hiába a kamionosok érdeksérelme, a kormány célkitűzése helyes",2025-12-24 08:41:25+00:00,Belföld,"Nem a kormány áll a fuvarozók ellen, hanem azok az emberek, akik kisebb településeken laknak, és ők ott haladnak el – szögezte leközösségi oldalánGulyás Gergely.A Miniszterelnökséget vezető miniszter rámutatott: nekik jogos igényük az, hogy miközben a kormány az elmúlt években a gyorsforgalmi úthálózatot egyedülálló mértékben bővítette, terelje oda a kamionforgalmat. Ugyanis a kamion nagy és veszélyes jármű, elég egyetlen hiba a sofőr vagy a körülötte közlekedők részéről, és ez könnyen valakinek az életébe kerülhet.Mint ismert, pár száz kamionos és a fuvarozó demonstrációba kezdett, hogy az Építési és Közlekedési Minisztérium (ÉKM) decemberben bejelentette, 50 százalékkal emelné az útdíjakat január 1-jétől. Később az eredetihez képest annyival módosították a javaslatot, hogy 50 helyett 35 százalékkal növelnék az útdíjakat.Az ÉKM nyitott a tárgyalásraAz Építési és Közlekedési Minisztérium végül megegyezett december 19-én a nyolcból hét meghatározó fuvarozói érdekképviselettel, amelyek a szakma kicsivel több mint kétharmadát tömörítik. Bár volt a fuvarozóknak egy kis csoportja, amely eleinte nem ment bele a megállapodásba és tüntetést szervezett, végül a minisztérium fogadta a tüntető kamionosokat is, akik sikeresnek ítélték a tárgyalást, és arra szólítottak fel mindenkit, hogy békésen térjenek haza.Kamionos tüntetők a Hősök terén (Fotó: MTI/Balogh Zoltán)Gulyás Gergely emlékeztetett: az ÉKM készen állt arra, hogy az érdekképviseleti szervekkel megegyezzen, és a legnagyobbakkal, amelyek a szakma 70 százalékát képviselik, meg is egyezett. Vannak még olyan érdekképviseleti szervek, akik ennek ellenére is a tiltakozás mellett döntöttek, a minisztérium velük is nyitott az egyeztetésre.Olyan megoldást tudunk elfogadni, ami a zajterhelést és a közúti terhelést a legkisebb településeken megszünteti és a fuvarozókat az úthálózat azon részére tereli át, ahol ilyen terhelést nem eredményeznek– emelte ki.Mint írta, a gyorsforgalmi úthálózat az, amit a fuvarozóknak elsősorban igénybe kell venniük. Ez a célkitűzés a kormány szerint helyes, akkor is, ha okoz érdeksérelmet.",https://magyarnemzet.hu/belfold/2025/12/gulyas-gergely-hiaba-a-kamionosok-erdekserelme-a-kormany-celkituzese-helyes
