,date,topic,telex,mandiner,hvg,mn
0,2025-12-20,DK,0,,,
1,2025-12-20,Fidesz,2,,,
2,2025-12-20,Jobbik,0,,,
3,2025-12-20,Karácsony Gergely,0,,,
4,2025-12-20,Lázár János,1,,,
5,2025-12-20,MSZP,0,,,
6,2025-12-20,Magyar Péter,1,,,
7,2025-12-20,Mi Hazánk,0,,,
8,2025-12-20,Momentum,0,,,
9,2025-12-20,Orbán Viktor,2,,,
10,2025-12-20,Putyin,0,,,
11,2025-12-20,Tisza Párt,1,,,
12,2025-12-20,Trump,1,,,
13,2025-12-20,Zelenszkij,0,,,
14,2025-12-21,DK,4,,,
15,2025-12-21,Fidesz,8,,,
16,2025-12-21,Jobbik,0,,,
17,2025-12-21,Karácsony Gergely,0,,,
18,2025-12-21,Lázár János,6,,,
19,2025-12-21,MSZP,0,,,
20,2025-12-21,Magyar Péter,5,,,
21,2025-12-21,Mi Hazánk,0,,,
22,2025-12-21,Momentum,0,,,
23,2025-12-21,Orbán Viktor,4,,,
24,2025-12-21,Putyin,3,,,
25,2025-12-21,Tisza Párt,4,,,
26,2025-12-21,Trump,6,,,
27,2025-12-21,Zelenszkij,2,,,
28,2025-12-22,DK,1,,,
29,2025-12-22,Fidesz,9,,,
30,2025-12-22,Jobbik,0,,,
31,2025-12-22,Karácsony Gergely,1,,,
32,2025-12-22,Lázár János,10,,,
33,2025-12-22,MSZP,0,,,
34,2025-12-22,Magyar Péter,9,,,
35,2025-12-22,Mi Hazánk,0,,,
36,2025-12-22,Momentum,0,,,
37,2025-12-22,Orbán Viktor,9,,,
38,2025-12-22,Putyin,1,,,
39,2025-12-22,Tisza Párt,9,,,
40,2025-12-22,Trump,9,,,
41,2025-12-22,Zelenszkij,0,,,
42,2025-12-23,DK,4,0.0,1.0,1.0
43,2025-12-23,Fidesz,10,3.0,1.0,3.0
44,2025-12-23,Jobbik,2,0.0,0.0,0.0
45,2025-12-23,Karácsony Gergely,2,0.0,0.0,0.0
46,2025-12-23,Lázár János,3,2.0,0.0,2.0
47,2025-12-23,MSZP,2,1.0,0.0,0.0
48,2025-12-23,Magyar Péter,5,6.0,1.0,6.0
49,2025-12-23,Mi Hazánk,3,0.0,0.0,0.0
50,2025-12-23,Momentum,2,0.0,2.0,0.0
51,2025-12-23,Orbán Viktor,13,5.0,1.0,6.0
52,2025-12-23,Putyin,5,6.0,0.0,0.0
53,2025-12-23,Tisza Párt,3,5.0,1.0,7.0
54,2025-12-23,Trump,15,6.0,2.0,5.0
55,2025-12-23,Zelenszkij,4,8.0,1.0,2.0
56,2025-12-24,DK,2,2.0,0.0,1.0
57,2025-12-24,Fidesz,2,2.0,0.0,4.0
58,2025-12-24,Jobbik,0,0.0,0.0,1.0
59,2025-12-24,Karácsony Gergely,1,0.0,2.0,1.0
60,2025-12-24,Lázár János,0,2.0,0.0,2.0
61,2025-12-24,MSZP,0,0.0,0.0,1.0
62,2025-12-24,Magyar Péter,4,4.0,0.0,3.0
63,2025-12-24,Mi Hazánk,0,0.0,0.0,1.0
64,2025-12-24,Momentum,1,0.0,0.0,1.0
65,2025-12-24,Orbán Viktor,5,5.0,2.0,5.0
66,2025-12-24,Putyin,4,3.0,1.0,1.0
67,2025-12-24,Tisza Párt,0,3.0,0.0,2.0
68,2025-12-24,Trump,5,8.0,2.0,4.0
69,2025-12-24,Zelenszkij,3,3.0,2.0,3.0
